timestamp,rank,name,price,change_24h,market_cap
9/4/2026 15:41,2,Ethereum,"$2,524.18 ",5.47%,$307.7B
9/4/2026 15:41,3,Tether,$1.00 ,0.04%,$183.34B
9/4/2026 15:41,4,BNB,$718.82 ,2.58%,$95.71B
9/4/2026 15:41,5,XRP,$1.45 ,6.72%,$91.13B
9/4/2026 15:41,6,USDC,$1.00 ,0.01%,$74.19B
9/4/2026 15:41,7,Solana,$104.08 ,3.95%,$60.92B
9/4/2026 15:41,8,TRON,$0.33 ,0.24%,$31.12B
9/4/2026 15:41,9,Hyperliquid,$86.95 ,6.34%,$21.87B
9/4/2026 15:41,10,Zcash,$998.90 ,20.26%,$16.83B
9/4/2026 15:42,1,Bitcoin,"$80,971.06 ",4.29%,$1.62T
9/4/2026 15:42,2,Ethereum,"$2,520.32 ",5.30%,$307.7B
9/4/2026 15:42,3,Tether,$1.00 ,0.04%,$183.34B
9/4/2026 15:42,4,BNB,$718.82 ,2.58%,$95.71B
9/4/2026 15:42,5,XRP,$1.45 ,6.72%,$91.13B
9/4/2026 15:42,6,USDC,$1.00 ,0.01%,$74.19B
9/4/2026 15:42,7,Solana,$104.08 ,3.95%,$60.92B
9/4/2026 15:42,8,TRON,$0.33 ,0.24%,$31.12B
9/4/2026 15:42,9,Hyperliquid,$86.71 ,6.06%,$21.81B
9/4/2026 15:42,10,Zcash,$998.53 ,20.21%,$16.82B
9/4/2026 15:42,1,Bitcoin,"$80,971.06 ",4.29%,$1.62T
9/4/2026 15:42,2,Ethereum,"$2,520.32 ",5.30%,$307.7B
9/4/2026 15:42,3,Tether,$1.00 ,0.04%,$183.34B
9/4/2026 15:42,4,BNB,$718.82 ,2.58%,$95.71B
9/4/2026 15:42,5,XRP,$1.45 ,6.72%,$91.13B
9/4/2026 15:42,6,USDC,$1.00 ,0.01%,$74.19B
9/4/2026 15:42,7,Solana,$104.08 ,3.95%,$60.92B
9/4/2026 15:42,8,TRON,$0.33 ,0.24%,$31.12B
9/4/2026 15:42,9,Hyperliquid,$86.71 ,6.06%,$21.81B
9/4/2026 15:42,10,Zcash,$998.53 ,20.21%,$16.82B
9/4/2026 15:43,1,Bitcoin,"$80,908.33 ",4.24%,$1.62T
9/4/2026 15:43,2,Ethereum,"$2,520.89 ",5.32%,$307.99B
9/4/2026 15:43,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:43,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:43,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:43,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:43,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:43,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:43,9,Hyperliquid,$87.04 ,6.48%,$21.89B
9/4/2026 15:43,10,Zcash,"$1,000.06 ",20.53%,$16.85B
9/4/2026 15:43,1,Bitcoin,"$80,908.33 ",4.24%,$1.62T
9/4/2026 15:43,2,Ethereum,"$2,520.89 ",5.32%,$307.99B
9/4/2026 15:43,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:43,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:43,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:43,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:43,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:43,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:43,9,Hyperliquid,$86.69 ,6.05%,$21.8B
9/4/2026 15:43,10,Zcash,$998.57 ,20.19%,$16.82B
